Dataset 86
Run 0
0,left,50000,fit,681,lates,191,expired,0,imbalance,98
1000,left,49000,fit,681,lates,191,expired,0,imbalance,98
2000,left,49930,fit,668,lates,193,expired,0,imbalance,95
3000,left,49991,fit,654,lates,199,expired,1,imbalance,89
4000,left,49977,fit,625,lates,200,expired,1,imbalance,83
5000,left,49977,fit,595,lates,205,expired,1,imbalance,76
6000,left,49690,fit,551,lates,206,expired,0,imbalance,69
7000,left,49829,fit,531,lates,216,expired,1,imbalance,61
8000,left,49803,fit,504,lates,214,expired,1,imbalance,56
9000,left,49934,fit,470,lates,220,expired,0,imbalance,50
10000,left,49929,fit,446,lates,226,expired,0,imbalance,44
11000,left,49955,fit,427,lates,222,expired,0,imbalance,41
12000,left,49944,fit,402,lates,222,expired,0,imbalance,36
13000,left,49956,fit,373,lates,228,expired,0,imbalance,29
14000,left,49874,fit,349,lates,234,expired,0,imbalance,23
15000,left,49804,fit,338,lates,228,expired,0,imbalance,22
16000,left,49946,fit,326,lates,236,expired,0,imbalance,18
17000,left,49989,fit,315,lates,225,expired,0,imbalance,18
18000,left,49755,fit,303,lates,228,expired,0,imbalance,15
19000,left,49625,fit,283,lates,233,expired,0,imbalance,10
20000,left,49834,fit,267,lates,227,expired,0,imbalance,8
21000,left,49761,fit,265,lates,230,expired,0,imbalance,7
22000,left,49627,fit,257,lates,227,expired,0,imbalance,6
23000,left,49819,fit,246,lates,221,expired,0,imbalance,5
24000,left,49593,fit,241,lates,221,expired,0,imbalance,4
25000,left,49851,fit,234,lates,229,expired,0,imbalance,1
26000,left,49966,fit,226,lates,226,expired,0,imbalance,0
27000,left,49280,fit,224,lates,224,expired,0,imbalance,0
28000,left,49789,fit,218,lates,218,expired,0,imbalance,0
29000,left,49786,fit,217,lates,217,expired,0,imbalance,0
30000,left,49527,fit,214,lates,214,expired,0,imbalance,0
31000,left,49974,fit,211,lates,211,expired,0,imbalance,0
32000,left,49537,fit,209,lates,209,expired,0,imbalance,0
33000,left,49597,fit,206,lates,206,expired,0,imbalance,0
34000,left,49928,fit,203,lates,203,expired,0,imbalance,0
35000,left,49932,fit,200,lates,200,expired,0,imbalance,0
36000,left,49997,fit,198,lates,198,expired,0,imbalance,0
37000,left,49899,fit,195,lates,195,expired,0,imbalance,0
38000,left,49703,fit,194,lates,194,expired,0,imbalance,0
39000,left,49931,fit,190,lates,190,expired,0,imbalance,0
40000,left,49974,fit,187,lates,187,expired,0,imbalance,0
41000,left,49722,fit,186,lates,186,expired,0,imbalance,0
42000,left,49795,fit,183,lates,183,expired,0,imbalance,0
43000,left,49978,fit,178,lates,178,expired,0,imbalance,0
44000,left,48978,fit,178,lates,178,expired,0,imbalance,0
45000,left,49826,fit,174,lates,174,expired,0,imbalance,0
46000,left,49146,fit,173,lates,173,expired,0,imbalance,0
47000,left,49440,fit,169,lates,169,expired,0,imbalance,0
48000,left,49766,fit,167,lates,167,expired,0,imbalance,0
49000,left,49735,fit,164,lates,164,expired,0,imbalance,0
50000,left,49828,fit,160,lates,160,expired,0,imbalance,0
51000,left,49103,fit,159,lates,159,expired,0,imbalance,0
52000,left,49954,fit,155,lates,155,expired,0,imbalance,0
53000,left,49866,fit,153,lates,153,expired,0,imbalance,0
54000,left,49829,fit,151,lates,151,expired,0,imbalance,0
55000,left,49560,fit,149,lates,149,expired,0,imbalance,0
56000,left,49920,fit,147,lates,147,expired,0,imbalance,0
57000,left,49846,fit,144,lates,144,expired,0,imbalance,0
58000,left,49758,fit,142,lates,142,expired,0,imbalance,0
59000,left,49150,fit,141,lates,141,expired,0,imbalance,0
60000,left,49124,fit,139,lates,139,expired,0,imbalance,0
61000,left,49966,fit,136,lates,136,expired,0,imbalance,0
62000,left,49612,fit,135,lates,135,expired,0,imbalance,0
63000,left,49800,fit,134,lates,134,expired,0,imbalance,0
64000,left,49421,fit,132,lates,132,expired,0,imbalance,0
65000,left,49327,fit,131,lates,131,expired,0,imbalance,0
66000,left,49849,fit,128,lates,128,expired,0,imbalance,0
67000,left,49958,fit,125,lates,125,expired,0,imbalance,0
68000,left,49766,fit,124,lates,124,expired,0,imbalance,0
69000,left,49611,fit,122,lates,122,expired,0,imbalance,0
70000,left,49984,fit,120,lates,120,expired,0,imbalance,0
71000,left,49161,fit,119,lates,119,expired,0,imbalance,0
72000,left,49724,fit,116,lates,116,expired,0,imbalance,0
73000,left,49848,fit,114,lates,114,expired,0,imbalance,0
74000,left,49725,fit,112,lates,112,expired,0,imbalance,0
75000,left,48725,fit,112,lates,112,expired,0,imbalance,0
76000,left,49979,fit,109,lates,109,expired,0,imbalance,0
77000,left,49980,fit,107,lates,107,expired,0,imbalance,0
78000,left,49321,fit,106,lates,106,expired,0,imbalance,0
79000,left,49438,fit,104,lates,104,expired,0,imbalance,0
80000,left,49923,fit,101,lates,101,expired,0,imbalance,0
81000,left,49357,fit,100,lates,100,expired,0,imbalance,0
